timestamp,channel,system_slot,sfn,slot_in_frame,rnti,rapid,tx_gain,on_air_ticks,outcome
2026-06-26T12:37:56.910,Msg1_PRACH,31374,3137,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:56.980,Msg1_PRACH,31534,3153,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:57.010,Msg1_PRACH,31694,3169,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:57.041,Msg1_PRACH,31854,3185,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:57.110,Msg1_PRACH,32014,3201,4,0x0039,0,40.0,0,transmitted
timestamp,channel,system_slot,sfn,slot_in_frame,rnti,rapid,tx_gain,on_air_ticks,outcome
2026-06-26T12:38:08.052,Msg1_PRACH,14,1,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:38:08.083,Msg1_PRACH,174,17,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:38:08.152,Msg1_PRACH,334,33,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:38:08.183,Msg1_PRACH,494,49,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:38:08.213,Msg1_PRACH,654,65,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:38:08.283,Msg1_PRACH,814,81,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:38:08.313,Msg1_PRACH,974,97,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:38:08.344,Msg1_PRACH,1134,113,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:38:08.413,Msg1_PRACH,1294,129,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:38:08.444,Msg1_PRACH,1454,145,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:38:08.474,Msg1_PRACH,1614,161,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:38:08.544,Msg1_PRACH,1774,177,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:38:08.574,Msg1_PRACH,1934,193,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:38:08.605,Msg1_PRACH,2094,209,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:38:08.674,Msg1_PRACH,2254,225,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:38:08.705,Msg1_PRACH,2414,241,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:38:08.735,Msg1_PRACH,2574,257,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:38:08.805,Msg1_PRACH,2734,273,4,0x0039,0,40.0,0,transmitted
